merge_id,atmosphere_id
11405395999264723e3,12
11405395999264723e3,28
11427404126694734e3,6
11429045506678913e3,12
11429045506678913e3,24
11429045506678913e3,4
11429045506678913e3,6
11429045506678913e3,8
11475478972569709e3,2
11475478972569709e3,21
11475478972569709e3,24
11475478972569709e3,30
11488023374467054e3,11
11504947836773706e3,22
11515406176752853e3,23
11515406176752853e3,26
11517204046659942e3,12
11517204046659942e3,26
11517204046659942e3,3
11517204046659942e3,5
11517204046659942e3,6
11517204046659942e3,8
11554328703211082e3,19
11558842210152765e3,23
11558842210152765e3,9
11563085212737247e3,12
11563085212737247e3,26
11563085212737247e3,5
11572904791525444e3,6
1158055056808978e4,24
11583292549218922e3,23
11583292549218922e3,24
11583292549218922e3,6
11668731150760088e3,24
11668731150760088e3,25
11668731150760088e3,6
11670278529392198e3,26
11670278529392198e3,6
11678608080072956e3,6
11680686814898369e3,21
11731164322489768e3,23
11731164322489768e3,3
11731164322489768e3,6
11742054857045703e3,6
1174844158622868e4,2
1174844158622868e4,21
1179665739239682e4,21
11808143713305076e3,23
11821644374075984e3,21
1198631822692645e4,12
1198631822692645e4,21
1198631822692645e4,6
12014709870162385e3,8
12036265424138869e3,12
12036265424138869e3,6
12050260881492982e3,24
