merge_id,biz_name
16642736848662243e3,Abanik
16694554110885222e3,Sumac & Mambo
1673849755834595e4,Gatblau
16805457674532989e3,Barceloneta
16831976871093584e3,La Balmesina
16868334559575622e3,Rossini
16870342346784567e3,Puglia In Tavola
16873752914473716e3,Telefèric
16910621873490831e3,Arcano
16938831470409234e3,Nass
16948752766239726e3,Blavis
1695554408742521e4,El Nacional
17000960786102745e3,Embat
1701765064717765e4,Don Angelo
17020298718956954e3,Churreria Laietana
17051256449672534e3,Informal
17055617962103613e3,Port Vell
17057305132033247e3,La Peninsular
17089001682395136e3,Billy Brunch & Garden
17157786630706078e3,El Desvan
17163709181751622e3,Krampus
17169416701736716e3,Betlem
1720480801532183e4,Tio Joe
17259300447675836e3,Sao BCN
1726466830003343e4,Bar Rubí
1.7301848819685761e+019,MAKO JAPANESE TAVERN ORIENTAL FOOD
17325783008687155e3,Vigo
1.7337840357263999e+019,La Cala Barceloneta
17364042551457767e3,Wine Mood
17405778753684486e3,Big Al S American Kitchen
17406392746012557e3,El Cafe De Ferran S. C. P.
1742086422192079e4,Debutis
17432384872070906e3,Kitchens Of Saint Catherine
17470316468582009e3,Café Menssana
